alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,27,0.04407765253175882,0.01666666666666683,0.025513732331365196,0.06512837716944002,0.0004358423668112834,0.0001915633109709949,0.5925925925925926
0.05,drift,coverage_delta,27,-0.00191447486133476,0.0,-0.0036679191268563166,-0.0003488996242619356,0.06497778197606971,0.037278123259792,0.037037037037037035
0.05,drift,abs_gap_delta,27,0.0009661835748792379,0.0,-0.0008677759885489286,0.002737520128824494,0.28702974430361805,0.3086304016998587,0.2222222222222222
0.05,gap,set_size_reduction,27,0.05271515476829487,0.03888888888888897,0.030361983360171756,0.07748982376095898,0.0005161332499597186,0.00018752454042885559,0.6296296296296297
0.05,gap,coverage_delta,27,0.00123456790123458,0.0,-0.0012345679012345594,0.004218106995884775,0.46183801815063774,0.4010819463370165,0.1111111111111111
0.05,gap,abs_gap_delta,27,0.002469135802469152,0.0,0.0001431383073895328,0.00524691358024692,0.07393743585215211,0.0860999457083875,0.18518518518518517
0.05,noise,set_size_reduction,27,0.054213633923778815,0.03888888888888875,0.033064725353372654,0.07785046519949897,0.00029305252019248926,9.78348318780598e-05,0.6296296296296297
0.05,noise,coverage_delta,27,-0.0019144748613347724,0.0,-0.003292181069958865,-0.0006799069601002047,0.017552325938416855,0.00910349468455466,0.0
0.05,noise,abs_gap_delta,27,0.00014313830738951658,0.0,-0.0013419216317767184,0.0016460905349794303,0.7991427680420735,0.8550186178068035,0.14814814814814814
0.05,__overall__,set_size_reduction,81,0.050335480407944166,0.02898550724637672,0.038050076042225794,0.0628934439673167,1.287677507325754e-09,2.748571252542879e-11,0.6172839506172839
0.05,__overall__,coverage_delta,81,-0.0008647939404783175,0.0,-0.002024959742351046,0.0004041047891692036,0.0773797511674052,0.1680754964236941,0.04938271604938271
0.05,__overall__,abs_gap_delta,81,0.0011928192282459687,0.0,5.363958967018263e-05,0.002400548696845001,0.06635168858545495,0.05591087431763762,0.18518518518518517
