alpha,corruption,metric,n_datasets,dataset_block_mean,dataset_block_median,ci95_low,ci95_high,positive_dataset_rate
0.05,__overall__,set_size_reduction,35,0.09307509725971704,0.07680911680911681,0.06459844955809563,0.12356614613839198,0.9142857142857143
0.05,__overall__,coverage_delta,35,-0.00531189238538531,-0.0033189033189033237,-0.00856501247268547,-0.0025143251630632916,0.17142857142857143
0.05,__overall__,abs_gap_delta,35,-0.0012126816235313988,-0.00090521831735889,-0.0028881140911080705,0.0006331164790969515,0.2857142857142857
0.05,drift,set_size_reduction,35,0.10964617685746188,0.10240631163708093,0.07812886723125036,0.14341289027500398,0.9428571428571428
0.05,drift,coverage_delta,35,-0.008643808069158012,-0.004545454545454527,-0.012863722247899615,-0.004812367523212296,0.11428571428571428
0.05,drift,abs_gap_delta,35,0.00024522600017950254,-0.0006837606837606518,-0.00185286228896798,0.0025654450917268227,0.4
0.05,gap,set_size_reduction,35,0.09110397499140675,0.055696202531645485,0.05687262543102926,0.12829899543667336,0.8571428571428571
0.05,gap,coverage_delta,35,-0.005570170317827521,-0.0018987341772151926,-0.00959123269145412,-0.0021133882023250286,0.2857142857142857
0.05,gap,abs_gap_delta,35,-0.0006954209049644094,-0.0020512820512820734,-0.0027131106040297662,0.001764270364520479,0.22857142857142856
0.05,noise,set_size_reduction,35,0.07847513993028249,0.04355555555555551,0.05204100905920826,0.10769120560363267,0.8857142857142857
0.05,noise,coverage_delta,35,-0.0017216987691703958,-0.0018264840182648475,-0.004764366838924548,0.0011859415217263815,0.37142857142857144
0.05,noise,abs_gap_delta,35,-0.003187849965809289,-0.0020907297830375037,-0.005371592236504069,-0.0010614184978120999,0.2571428571428571
